Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,10.750000,11.500000,10.700000,10.804000,10.804000,474700
2020-06-19,11.400000,11.400000,10.830000,10.930000,10.930000,57400
2020-06-22,11.110000,12.825000,10.900000,11.360000,11.360000,529800
2020-06-23,11.650000,12.230000,11.250000,11.610000,11.610000,321700
2020-06-24,11.860000,11.860000,11.150000,11.250000,11.250000,214800
2020-06-25,11.120000,11.400000,11.120000,11.370000,11.370000,217800
2020-06-26,11.640000,11.640000,11.100000,11.280000,11.280000,104100
2020-06-29,11.390000,12.070000,11.360000,11.680000,11.680000,306000
2020-06-30,12.090000,12.090000,11.600000,11.750000,11.750000,395400
2020-07-01,11.750000,11.800000,11.610000,11.610000,11.610000,264200
2020-07-02,11.750000,11.750000,11.460000,11.480000,11.480000,228200
2020-07-06,11.750000,11.750000,11.400000,11.400000,11.400000,277700
2020-07-07,11.750000,11.750000,11.300000,11.400000,11.400000,220000
2020-07-08,11.570000,11.570000,11.300000,11.450000,11.450000,206300
2020-07-09,11.700000,11.740000,11.550000,11.630000,11.630000,167100
2020-07-10,11.750000,11.800000,11.600000,11.800000,11.800000,433400
2020-07-13,12.000000,12.150000,11.450000,11.480000,11.480000,1592200
2020-07-14,11.600000,11.600000,11.380000,11.450000,11.450000,147500
2020-07-15,11.660000,11.660000,11.400000,11.640000,11.640000,173500
2020-07-16,11.750000,12.050000,11.700000,12.000000,12.000000,224700
2020-07-17,12.050000,12.140000,11.880000,12.000000,12.000000,220200
2020-07-20,12.010000,12.150000,11.700000,11.930000,11.930000,304300
2020-07-21,12.170000,12.450000,11.930000,12.000000,12.000000,491000
2020-07-22,12.270000,12.340000,11.900000,12.050000,12.050000,1008300
2020-07-23,12.140000,12.170000,11.600000,11.950000,11.950000,474800
2020-07-24,12.020000,12.020000,11.850000,11.925000,11.925000,203600
2020-07-27,12.320000,12.320000,11.860000,12.000000,12.000000,484100
2020-07-28,12.050000,12.100000,11.850000,11.870000,11.870000,123100
2020-07-29,11.900000,12.000000,11.550000,11.680000,11.680000,290200
2020-07-30,11.650000,11.800000,11.270000,11.290000,11.290000,572500
2020-07-31,11.370000,11.370000,10.800000,10.850000,10.850000,550000
2020-08-03,11.130000,11.175000,10.830000,10.840000,10.840000,327700
2020-08-04,10.900000,10.990000,10.810000,10.990000,10.990000,118700
2020-08-05,11.050000,11.180000,10.900000,11.040000,11.040000,133600
2020-08-06,11.090000,11.150000,10.940000,11.035000,11.035000,126900
2020-08-07,11.080000,11.110000,10.910000,10.990000,10.990000,305100
2020-08-10,11.190000,11.190000,10.910000,10.910000,10.910000,154600
