Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,29.500000,37.349998,29.049999,36.450001,36.450001,33963400
2020-10-16,37.450001,41.939999,36.639999,38.950001,38.950001,12251300
2020-10-19,38.849998,40.500000,38.480000,38.950001,38.950001,3539600
2020-10-20,39.279999,40.730000,37.250000,38.500000,38.500000,2853200
2020-10-21,38.119999,42.099998,37.360001,39.340000,39.340000,8694200
2020-10-22,38.980000,44.439999,38.029999,43.939999,43.939999,3240000
2020-10-23,43.580002,44.009998,38.837002,42.000000,42.000000,3298300
2020-10-26,41.049999,41.730000,38.400002,39.500000,39.500000,1965100
2020-10-27,39.500000,39.520000,37.290001,38.000000,38.000000,1637200
2020-10-28,36.669998,38.750000,35.549999,37.459999,37.459999,1858900
2020-10-29,37.610001,38.200001,36.529999,37.810001,37.810001,899100
2020-10-30,36.959999,37.250000,34.500000,36.849998,36.849998,1180200
2020-11-02,37.740002,38.500000,36.459999,36.779999,36.779999,992800
2020-11-03,37.139999,38.500000,36.520000,37.570000,37.570000,2321900
2020-11-04,36.630001,37.490002,34.130001,35.939999,35.939999,2016200
2020-11-05,37.330002,42.490002,36.669998,39.340000,39.340000,2281600
2020-11-06,38.667000,48.880001,38.099998,44.810001,44.810001,3274700
2020-11-09,44.248001,45.700001,38.389999,42.000000,42.000000,2445000
2020-11-10,41.250000,41.832001,35.709999,39.700001,39.700001,2271200
2020-11-11,40.160000,41.189999,38.849998,39.160000,39.160000,588500
2020-11-12,39.150002,39.630001,37.070000,37.630001,37.630001,692400
2020-11-13,38.549999,40.590000,37.668999,38.470001,38.470001,812800
2020-11-16,39.000000,40.000000,38.560001,39.320000,39.320000,789400
2020-11-17,39.500000,40.359001,38.709999,40.049999,40.049999,854200
2020-11-18,40.340000,44.270000,40.250000,41.970001,41.970001,1852900
2020-11-19,41.500000,43.959999,41.200001,42.700001,42.700001,498700
2020-11-20,42.970001,45.900002,42.575001,45.099998,45.099998,813000
2020-11-23,45.599998,46.889999,42.330002,45.099998,45.099998,1081700
2020-11-24,45.669998,50.990002,43.270000,46.200001,46.200001,1602500
2020-11-25,46.049999,48.540001,45.290001,47.430000,47.430000,695000
2020-11-27,48.465000,49.689999,46.610001,47.110001,47.110001,590000
2020-11-30,48.150002,48.150002,43.650002,45.580002,45.580002,1008300
2020-12-01,42.564999,43.349998,40.270000,40.599998,40.599998,2219000
2020-12-02,40.400002,40.400002,37.195000,37.599998,37.599998,3028700
2020-12-03,37.500000,38.450001,35.650002,35.849998,35.849998,12618800
2020-12-04,36.169998,36.900002,33.830002,34.090000,34.090000,4500600
2020-12-07,35.000000,35.938999,33.459999,35.180000,35.180000,3078900
2020-12-08,36.029999,36.790001,35.299999,36.570000,36.570000,3813700
2020-12-09,37.750000,38.240002,35.680000,36.119999,36.119999,3931900
2020-12-10,35.348000,36.880001,35.299999,36.099998,36.099998,1867200
2020-12-11,36.250000,37.000000,35.270000,36.470001,36.470001,1596400
