Date,Open,High,Low,Close,Adj Close,Volume
2018-11-20,2.100840,2.100840,1.670668,1.670668,1.670668,87400
2018-11-21,1.838735,2.434974,1.838735,2.118848,2.118848,38900
2018-11-23,2.200880,2.200880,1.958784,1.960784,1.960784,14900
2018-11-26,1.940776,1.940776,1.552621,1.676671,1.676671,24900
2018-11-27,1.760704,1.800720,1.700680,1.792717,1.792717,21900
2018-11-28,1.868747,1.870748,1.794718,1.794718,1.794718,14400
2018-11-29,1.808723,1.826731,1.400560,1.626651,1.626651,57400
2018-11-30,1.560624,1.570628,1.560624,1.570628,1.570628,16900
2018-12-03,1.540616,1.698679,1.540616,1.688676,1.688676,16900
2018-12-04,1.686675,1.686675,1.518607,1.620648,1.620648,2900
2018-12-06,1.322529,1.650660,1.322529,1.624650,1.624650,90900
2018-12-07,1.552621,1.650660,1.552621,1.600640,1.600640,11900
2018-12-10,1.598639,1.600640,1.398559,1.398559,1.398559,14400
2018-12-11,1.598639,1.598639,1.580632,1.598639,1.598639,21400
2018-12-12,1.600640,1.620648,1.600640,1.620648,1.620648,6400
2018-12-13,1.600640,1.776711,1.600640,1.770708,1.770708,13400
2018-12-14,1.712685,1.730692,1.600640,1.600640,1.600640,69900
2018-12-17,1.760704,1.760704,1.476591,1.476591,1.476591,14900
2018-12-18,1.460584,1.698679,1.356543,1.670668,1.670668,59900
2018-12-19,1.674670,1.674670,1.600640,1.600640,1.600640,16400
2018-12-20,1.600640,1.674670,1.564626,1.564626,1.564626,27900
2018-12-21,1.438575,1.438575,1.438575,1.438575,1.438575,4900
2018-12-24,1.620648,1.620648,1.460584,1.460584,1.460584,3400
2018-12-26,1.460584,1.460584,1.460584,1.460584,1.460584,400
2018-12-27,1.344538,1.500600,1.344538,1.462585,1.462585,12900
2018-12-28,1.340536,1.354542,1.126451,1.340536,1.340536,15400
2018-12-31,1.490596,1.490596,1.490596,1.490596,1.490596,1400
2019-01-02,1.360544,1.420568,1.360544,1.420568,1.420568,1400
2019-01-03,1.420568,1.420568,1.420568,1.420568,1.420568,0
2019-01-04,1.404562,1.404562,1.400560,1.400560,1.400560,5900
2019-01-07,1.350540,1.350540,1.350540,1.350540,1.350540,1400
2019-01-08,1.350540,1.488595,1.350540,1.400560,1.400560,18400
2019-01-09,1.398559,1.398559,1.398559,1.398559,1.398559,3900
2019-01-10,1.398559,1.398559,1.398559,1.398559,1.398559,0
2019-01-11,1.328531,1.458583,1.328531,1.328531,1.328531,2400
2019-01-14,1.328531,1.328531,1.328531,1.328531,1.328531,0
